step,name,x,y,z
0,Merkez,5e-09,6.25e-09,0
0,Gezegen1,9.99999,0.01,0
0,Gezegen2,-0.007,20,0
50,Merkez,1.29055e-05,1.64768e-05,0
50,Gezegen1,9.98699,0.509791,0
50,Gezegen2,-0.356979,19.9967,0
100,Merkez,5.02106e-05,6.54661e-05,0
100,Gezegen1,9.94901,1.00833,0
100,Gezegen2,-0.706845,19.9872,0
150,Merkez,0.000111279,0.000148206,0
150,Gezegen1,9.88616,1.50437,0
150,Gezegen2,-1.05649,19.9715,0
200,Merkez,0.000195408,0.000265914,0
200,Gezegen1,9.79857,1.99668,0
200,Gezegen2,-1.4058,19.9495,0
250,Merkez,0.000301832,0.000419789,0
250,Gezegen1,9.68648,2.48402,0
250,Gezegen2,-1.75466,19.9212,0
300,Merkez,0.000429727,0.000611007,0
300,Gezegen1,9.55016,2.96517,0
300,Gezegen2,-2.10298,19.8868,0
350,Merkez,0.000578209,0.000840721,0
350,Gezegen1,9.38995,3.43894,0
350,Gezegen2,-2.45063,19.8461,0
400,Merkez,0.000746334,0.00111006,0
400,Gezegen1,9.20624,3.90413,0
400,Gezegen2,-2.79752,19.7992,0
450,Merkez,0.000933101,0.00142011,0
450,Gezegen1,8.9995,4.35959,0
450,Gezegen2,-3.14352,19.7461,0
500,Merkez,0.00113745,0.00177194,0
500,Gezegen1,8.77024,4.80418,0
500,Gezegen2,-3.48854,19.6868,0
550,Merkez,0.00135828,0.00216658,0
550,Gezegen1,8.51902,5.23679,0
550,Gezegen2,-3.83246,19.6213,0
600,Merkez,0.00159441,0.00260501,0
600,Gezegen1,8.24647,5.65632,0
600,Gezegen2,-4.17518,19.5497,0
650,Merkez,0.00184462,0.00308818,0
650,Gezegen1,7.95328,6.06174,0
650,Gezegen2,-4.51658,19.472,0
700,Merkez,0.00210766,0.00361699,0
700,Gezegen1,7.64016,6.45203,0
700,Gezegen2,-4.85657,19.3882,0
750,Merkez,0.00238221,0.00419229,0
750,Gezegen1,7.30791,6.82621,0
750,Gezegen2,-5.19502,19.2983,0
800,Merkez,0.00266689,0.0048149,0
800,Gezegen1,6.95734,7.18335,0
800,Gezegen2,-5.53185,19.2024,0
850,Merkez,0.00296031,0.00548557,0
850,Gezegen1,6.58933,7.52254,0
850,Gezegen2,-5.86693,19.1004,0
900,Merkez,0.00326101,0.00620499,0
900,Gezegen1,6.2048,7.84294,0
900,Gezegen2,-6.20016,18.9924,0
950,Merkez,0.00356752,0.00697382,0
950,Gezegen1,5.80471,8.14375,0
950,Gezegen2,-6.53145,18.8785,0
1000,Merkez,0.0038783,0.00779265,0
1000,Gezegen1,5.39005,8.4242,0
1000,Gezegen2,-6.86067,18.7586,0
1050,Merkez,0.0041918,0.008662,0
1050,Gezegen1,4.96186,8.68361,0
1050,Gezegen2,-7.18773,18.6329,0
1100,Merkez,0.00450642,0.00958235,0
1100,Gezegen1,4.52121,8.92131,0
1100,Gezegen2,-7.51253,18.5013,0
1150,Merkez,0.00482055,0.0105541,0
1150,Gezegen1,4.0692,9.1367,0
1150,Gezegen2,-7.83495,18.3638,0
1200,Merkez,0.00513254,0.0115776,0
1200,Gezegen1,3.60695,9.32925,0
1200,Gezegen2,-8.1549,18.2206,0
1250,Merkez,0.00544072,0.0126531,0
1250,Gezegen1,3.13563,9.49848,0
1250,Gezegen2,-8.47227,18.0717,0
1300,Merkez,0.0057434,0.0137808,0
1300,Gezegen1,2.65641,9.64395,0
1300,Gezegen2,-8.78696,17.9171,0
1350,Merkez,0.00603889,0.0149608,0
1350,Gezegen1,2.17049,9.76531,0
1350,Gezegen2,-9.09888,17.7568,0
1400,Merkez,0.00632545,0.0161933,0
1400,Gezegen1,1.67909,9.86224,0
1400,Gezegen2,-9.40791,17.5909,0
1450,Merkez,0.00660136,0.0174782,0
1450,Gezegen1,1.18344,9.9345,0
1450,Gezegen2,-9.71396,17.4195,0
1500,Merkez,0.00686488,0.0188155,0
1500,Gezegen1,0.684769,9.98192,0
1500,Gezegen2,-10.0169,17.2425,0
1550,Merkez,0.00711427,0.020205,0
1550,Gezegen1,0.184338,10.0044,0
1550,Gezegen2,-10.3167,17.0601,0
1600,Merkez,0.00734779,0.0216464,0
1600,Gezegen1,-0.316602,10.0018,0
1600,Gezegen2,-10.6132,16.8724,0
1650,Merkez,0.0075637,0.0231396,0
1650,Gezegen1,-0.816797,9.97423,0
1650,Gezegen2,-10.9064,16.6792,0
1700,Merkez,0.00776026,0.0246841,0
1700,Gezegen1,-1.31499,9.92172,0
1700,Gezegen2,-11.1961,16.4808,0
1750,Merkez,0.00793575,0.0262796,0
1750,Gezegen1,-1.80994,9.84441,0
1750,Gezegen2,-11.4822,16.2772,0
1800,Merkez,0.00808845,0.0279254,0
1800,Gezegen1,-2.30041,9.7425,0
1800,Gezegen2,-11.7646,16.0684,0
1850,Merkez,0.00821668,0.0296211,0
1850,Gezegen1,-2.78515,9.61626,0
1850,Gezegen2,-12.0433,15.8545,0
1900,Merkez,0.00831876,0.0313661,0
1900,Gezegen1,-3.26297,9.466,0
1900,Gezegen2,-12.3182,15.6356,0
1950,Merkez,0.00839303,0.0331595,0
1950,Gezegen1,-3.73266,9.29212,0
1950,Gezegen2,-12.5891,15.4117,0
2000,Merkez,0.00843787,0.0350006,0
2000,Gezegen1,-4.19305,9.09506,0
2000,Gezegen2,-12.856,15.1829,0
2050,Merkez,0.00845168,0.0368885,0
